experiment,run,mode,throughput_per_s,p50_ms,p95_ms,p99_ms,max_ms,dispatch_batches,dispatch_average,benchmark_log_sha256,runtime_log_sha256,runtime_diff_sha256
E52,1,candidate,275022,181.305,317.336,398.521,504.391,136,7710.1,05feb77fea1bbfd9e3fef708b1beaa62a139cf7e9ff9c193706b7f2a6e71c40d,430492fa191206778ef80731193c979d9b87c2bfd1843d38fdfea98265bc2580,9fdfaa3ab59b011dac0085523bcd94030a29f16789fed45c83c2753bc85db53b
E52,1,control,284519,179.527,284.451,324.127,381.179,120,8738.1,4c23a1d717ce389297fa42f79b16ba189cca5564348d16bf8f0722a36312b2e4,3911f57c2c64d25253cb216a6fc3a47053995732b77150a3db9a5a822bfa2c1c,9fdfaa3ab59b011dac0085523bcd94030a29f16789fed45c83c2753bc85db53b
E53,1,candidate,279032,188.185,306.365,334.814,414.776,137,7653.8,fad4c3bef295ed720684e7d9106b199ab9e2c24828c1a54726757f754525ed51,ec4d64734e08a0681c8027956813afe6f36d501be859b27cf16ab6fb9a0f70bc,8200f6dfe90296a6bc589f038fee9706b588440c0c3f7c983c497b284e12584f
E53,1,control,336033,164.533,221.813,238.460,277.467,125,8388.6,81220f523eeb5411606ed1f4e215b672338ba0a9dfe6ff1795ec0ffaa52685e4,7415204a656ecf6d1b3252a47d367833419aaa279904dba63a239d5fbe34596b,8200f6dfe90296a6bc589f038fee9706b588440c0c3f7c983c497b284e12584f
