ready_chunk,pair_order,mode,throughput_per_s,p50_ms,p95_ms,p99_ms,max_ms,dispatch_batches,dispatch_average,benchmark_log_sha256,runtime_log_sha256
1024,candidate-control,candidate,302721,173.714,267.392,313.779,338.022,127,8256.5,cd5693668fc21bdbcaadadaf5798335d6e732b237a622769c12c18f7d1bdc2e8,0d9b805451ad2b31da1e555d1acbc0a0cfbb8e715a2455a40e0cf76da1832ed3
1024,candidate-control,control,304438,174.415,256.833,299.160,327.705,123,8525.0,f5a4b5db8076327fbf36b762f0bc6df29545cbeef85c5815dbb06d55e0fbec59,c858258ede9644e0aebf28baf922f4600ab36525c8ed0fa6428fb61726299b81
4096,control-candidate,control,314081,165.739,242.762,266.547,351.810,152,6898.5,bd8fbae5f2bdb1033324c93aec7fb5bda4d6a52cbc17496966735a476a8ddbb8,f418de753a20cfa20ea2a1d18c4c925226959c80a154fe3454c9e18c5edc0832
4096,control-candidate,candidate,306288,163.236,280.064,333.755,374.059,124,8456.3,7aa7ab7769facc5d0e6de2a335e2f22eefe3e3fba37d8a4e9e74b0df11f513a2,fa7fb019f842a29fecb1679802a010bcceb09753eebe531d19dd6889bd223dd5
