run,variant,commands_per_s,p50_ms,p95_ms,p99_ms,max_ms,commit_batches,batch_avg,batch_min,batch_max,log_sha256
1,A0,194424,290.101,353.875,367.183,391.932,106,9892.2,2,16384,25e3b251417cb1b007b24543159f95984ccc584184eec7cbf35d218755208c1f
2,R1,191184,295.107,380.027,410.914,440.310,85,12336.2,50,16384,481a4f8f5c7564465852b15c403a33d83c7d2884d707b51b734d54bbf6b1bd0d
3,R1,204572,274.290,351.346,390.783,405.518,135,7767.2,1,16384,d0a2e1be308a87686ac5cf8476960f3e2d2f3271f4e8a6aad1d7bff451ee1023
4,A0,196529,288.979,364.174,380.713,398.817,113,9279.4,1,16384,160ff3eb4c5c2afe0c5f72f770606a60bfdd179b1dc6bb10641cec7865af5369
5,R1,193068,293.645,372.530,394.167,401.708,90,11650.8,3,16384,b307abfe96f06d96f1beb6ff042d9d89d32ae000b1d5ae26518905435eddd9ff
6,A0,196726,290.675,371.909,394.727,406.657,110,9532.5,1,16384,d5f64d0c8c4cff252b4f479577cdc246eec28d49a1bc5211bfe1c40fe1c5faea
7,A0,188731,301.502,392.915,417.933,435.250,87,12052.6,24,16384,4dee6a6f5bcb7bfeb16cec0e2f0d3eb81773539a0298d9de9d0d969f196f83f0
8,R1,193268,294.808,362.489,380.650,393.484,109,9620.0,1,16384,4317118852d9e98b347a1fe34ed8d79909ffe5cd64d7189c712d1b6479dbd730
