order,pair,variant,transport,throughput_per_second,p50_ms,p95_ms,p99_ms,max_ms,client_log_sha256,runtime_log_sha256
1,1,control,BINARY_V2,277720,188.069,276.642,327.420,389.663,9d2f2b2a6493b763e5d2792faad1d88e9fa1389bbd9414b4d81239ed519cfc6c,2863875ed5332ac0ff3f5c48a736e010807e2a611216a2923999ee44172be448
2,1,candidate,BINARY_V3,294435,174.128,297.678,343.433,482.932,e98c170e067cbd0b2b616f6fab04b732948d09a838d512e361c692ecdedf76a2,8cb44eae69fdfaf6dffc2b72067ac6feedc47615f1f5e6e70619000640b5fada
3,2,candidate,BINARY_V3,314172,167.145,252.006,284.016,313.911,f7db7892e51692e6ed1a7b233be52ba83507a1463f9c4a0687adfd235eb027c4,0ab1a390c648a27055eb1ec46507254a049f95f2cf96c75283924f861dfcb165
4,2,control,BINARY_V2,306630,174.677,247.071,283.345,342.549,1893a923d453fe65224e373b8448a07e6cf4ee09b04029d3e4186ad7c7714f48,90c1d42a50bbad4791685ec97d5ad9df76bd19b4038e29a37cd8457e78174b0a
5,3,candidate,BINARY_V3,320761,163.364,260.954,285.365,321.675,9073689ec43d5c405768c06deebfba322aac2431bba2a5fd6947a68028f96cdd,1c4ad2f035629be5cc7901f0051a47c340cbac263c2145498c381179b4e2cf68
6,3,control,BINARY_V2,287042,179.177,273.456,329.930,404.402,3983672783ce84e6a05a97698afbc9c4583723b80b38d95c076911786731ea67,02c4a76032da9a3313b98615987fd5d7567f91459a801a5b8fef40ad734303f2
7,4,control,BINARY_V2,308396,170.426,265.435,318.857,337.431,486fc3f7f5c33f3b2bac86c8f8bf93c4d9b00bfffeea578e94275e9645df4cf2,7022d360ed74e9b97693d137ffbc3befa17b03f34b9372570ef0079c3301e020
8,4,candidate,BINARY_V3,296500,173.736,271.104,309.421,370.670,bac7692d2102f8fc36e8f5cd05dbffcba5ce6a60e92be2c798d7d31e937f9a4c,33ebbddf9f676cbde5315229a58a0aa36277b7ce07d8fb4bbf17bbbfcb6cc708
