run,variant,commands_per_s,p50_ms,p95_ms,p99_ms,max_ms,commit_batches,batch_avg,batch_min,batch_max,log_sha256
1,A0,207221,273.927,345.581,388.885,429.914,77,13617.9,3,16384,b0e12aed9e53624d124a30bbd1fd49045e0baabaa323b1eaf6d43fcaa13fe061
2,C1,193837,292.817,356.667,392.823,437.549,66,15887.5,1,16384,d8be1216e79268f555431afb4edb813d6cf4ef44cfccc336a0e94db15ab9ebcc
3,C1,214302,266.184,332.202,358.822,411.059,96,10922.7,1,16384,6be356c77c4ca3bea559e3f2d7f4d7a9ef6cb087a82829ee656b5ef8fd092821
4,A0,254543,218.610,296.596,335.828,380.226,163,6433.0,1,16384,1b5aa45bec7203bce77839791c67dd8fa03810e46a864c59371ae0497d587a63
5,C1,261664,204.599,286.164,341.533,429.005,137,7653.8,1,16384,ef242a900bdddb02b0e037786e39c26c3db96f20eafe1b41bc64abd74672e75e
6,A0,197148,284.709,356.204,405.259,432.939,82,12787.5,4,16384,9eb106f0c73689a7eb26bcffc1b990fd019f4b8985094d111e8018e52e37bf88
7,A0,214879,268.007,333.488,357.309,421.519,64,16384.0,16384,16384,b4498b1cfb7915acb7ec1ff19d7457d6afe535c6877a2e1a6d38098830f116bc
8,C1,202447,280.133,388.702,417.945,436.822,74,14169.9,27,16384,f7c2350420093ef36b2117ed8f158fde1cced3289e2fd5a41dc374ab596de60a
