pair,execution_order,variant,commands_per_second,p50_ms,p95_ms,p99_ms,max_ms,log_sha256
1,1,control,250717,211.880,309.698,365.929,407.697,72c0469eedde29f5905ee71f23e9abf1a75cfc3fdfb3a77a0434c898a0684110
1,2,candidate,253879,217.770,302.396,364.922,427.846,0b3198c4261f32f20338b48d19afdb3d073026fc54c08c74c3fb4db8e8601d4f
2,1,candidate,238459,221.696,357.528,438.909,464.995,46639d7299d5fad456d10d66d40f9d91e7e495921530e6dccea82941cb7542e1
2,2,control,249157,219.389,328.547,359.007,385.336,1798b78146bee55d5fb5b82cc7318ba39880861f36bb38b72de2905eaf6d9f8f
