order,mode,throughput_per_second,p50_ms,p95_ms,p99_ms,max_ms,dispatch_batches,dispatch_average,packed_transactions_total,packed_average,packed_service_seconds,packed_capacity_approx_per_second,event_jdbc_service_seconds,log_sha256,runtime_log_sha256,client_jfr_sha256,runtime_jfr_sha256,sdk_commit,runtime_commit,sdk_diff_sha256,runtime_diff_sha256
1,candidate,247471,199.228,317.643,376.806,435.495,144,7281.8,263,4236.2,3.739,297970,3.568,9086bf4962f3f726a8c0a0fb4c08727f88f9e67c690ece8c276363d0d81adf93,d4098fe16fb216d69aeddcbfdb52483ccbead0df72818adf6e654598d40d05c1,99f82412603cc396858e0296be4b4cb3dc9c1d0c738b3fc72eed2ef51d7c7bf6,78ff3ec43c8fb47921de7f7d119c741212ecc82b85ca3d4f42a457fb3d810edf,380dcee3743229789e9d9ae9faf28049206a2366,ed9cb3419e0b61e49869886f81f742f1c8bf6a77,060d090a8a1ef621471c42bb01859856d5cb318c5a2a0ead6f16c28c6ec00d7d,ffd338415886e1241252ccafb6711348abe4e6ba2966085de8c4a6c57aedf3d8
2,control,275485,189.940,293.589,345.632,390.167,133,7884.0,142,7845.9,3.544,314366,3.981,5a327a84fdb9d1700d5e7c847fd9747d7e994520352ba14414f07e214a9c9f43,d100ed4330df69ce8461fa98681a5d49edb3a0149d550b3e5bcd75fd8371c320,e280c64b688e4b30e984c4b963d742aabdc140121f1bb9d0ec13a9666cc49aa0,3837c4beefc5e00c20d2c0122ba51cea963e481e99489c43d523840169f84ef0,380dcee3743229789e9d9ae9faf28049206a2366,ed9cb3419e0b61e49869886f81f742f1c8bf6a77,060d090a8a1ef621471c42bb01859856d5cb318c5a2a0ead6f16c28c6ec00d7d,ffd338415886e1241252ccafb6711348abe4e6ba2966085de8c4a6c57aedf3d8
