pair,execution_order,variant,delay,commands_per_second,p50_ms,p95_ms,p99_ms,max_ms,log_sha256
1,1,control,PT0S,257484,207.529,312.233,393.633,471.284,7b55ad81bfe9eaf2b5d482b60a18e1f40b151bfc86f8966e2e2b2c43a4304349
1,2,candidate,PT0.001S,262937,202.398,288.911,337.767,382.905,7e2450498a578ecc58098b88f933073deaf574e063cb1363d87ec4c30e1d2a78
2,1,candidate,PT0.001S,258835,204.590,323.335,386.625,406.969,4bd18017804c64e39a2cdebb385f21556bf31079b610f2bc867a2f1dd6b73191
2,2,control,PT0S,250314,225.811,324.625,384.161,435.567,acf2b8068ef2da98958f59a86c2a917fe44eb0128f41392240e2d001f0e8e4b1
3,1,control,PT0S,261763,200.280,295.521,345.140,401.658,8628b8818c7eda9e1739a17cedde3628bfe76bd50cc89ea43b6280d91af63c24
3,2,candidate,PT0.001S,249168,211.271,324.977,374.485,447.833,cdce8761caaefc59035543d596237146b8dd30853adccd65e4b25334349a155e
4,1,candidate,PT0.001S,255582,210.959,307.104,349.696,421.250,e7c525935ec38544ea10956b4c92cb05d7bac7285d891dbe11c8934c77d6e164
4,2,control,PT0S,246897,223.168,319.181,353.170,404.945,be55926f6354752c857de8c8d910b481713951e66f82a636f9b9db5fd59c7b48
