run,variant,commands_per_s,p50_ms,p95_ms,p99_ms,max_ms,dispatch_batches,batch_avg,batch_min,batch_max,log_sha256
1,immediate-locator,267711,201.223,288.828,313.032,352.274,138,7598.4,1,16384,19101af69500696857c93e271a1747805bc5fa5e1a6226dce0a9565985243e42
2,coalesced-100ms,267805,206.319,310.357,344.386,358.889,143,7332.7,1,16384,ed0b334fe327c844faa17bd14b682732a71d8a20956c5d3e6e1043d0b00cd146
3,immediate-locator,259456,217.929,292.252,339.101,396.207,163,6433.0,1,16384,3ae0aab52f9cc706949f438962fa536eae22965df32eb8a2421c01cacbf8b93b
4,coalesced-100ms,249044,222.750,323.263,370.163,432.313,109,9620.0,1,16384,3a096e6fcdb566818c6d88b89471a9e7c7eb9dd38408c93e2bb257cbbd6a3be5
5,immediate-locator,256301,209.365,323.276,365.089,402.908,138,7598.4,2,16384,bad480e3ba900053c9a9cecbab5b53cdc1ca6ea8703e2245d52ad6be7f4c7a37
6,coalesced-100ms,262712,200.615,312.593,371.172,395.945,137,7653.8,1,16384,54cf8c176b38c9a0d9718260777fda74a72cb83d619e97832732618cd87956ca
